epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,169.317,1.12312,2.19923,1.2047,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000594052,0.000594052,0.000594052
96,171.104,1.12418,1.92029,1.16317,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000588552,0.000588552,0.000588552
97,172.79,0.97158,1.81784,1.08585,0.42062,0.5,0.48293,0.23248,2.07995,2.13061,2.25397,0.000583053,0.000583053,0.000583053
98,175.111,0.99141,2.01393,1.15885,0.62914,0.57143,0.54691,0.25244,2.09237,2.00388,2.32576,0.000577553,0.000577553,0.000577553
99,177.136,1.03325,2.36155,1.21722,0.62914,0.57143,0.54691,0.25244,2.09237,2.00388,2.32576,0.000572054,0.000572054,0.000572054
100,179.285,1.05328,1.8556,1.18484,0.62914,0.57143,0.54691,0.25244,2.09237,2.00388,2.32576,0.000566554,0.000566554,0.000566554
101,181.835,1.01143,1.63729,1.05413,0.62914,0.57143,0.54691,0.25244,2.09237,2.00388,2.32576,0.000561055,0.000561055,0.000561055
102,184.228,1.38353,2.98864,1.6283,0.71952,0.55112,0.60862,0.28322,2.04867,1.9964,2.24507,0.000555556,0.000555556,0.000555556
103,185.798,1.01787,1.72928,1.13527,0.71952,0.55112,0.60862,0.28322,2.04867,1.9964,2.24507,0.000550056,0.000550056,0.000550056
104,187.701,1.09789,1.99544,1.22125,0.71952,0.55112,0.60862,0.28322,2.04867,1.9964,2.24507,0.000544557,0.000544557,0.000544557
105,190.352,0.96834,1.66353,1.08292,0.58193,0.42857,0.54691,0.25596,1.91125,2.04297,2.03778,0.000539057,0.000539057,0.000539057
106,192.982,1.11366,1.96019,1.23256,0.58193,0.42857,0.54691,0.25596,1.91125,2.04297,2.03778,0.000533558,0.000533558,0.000533558
107,194.69,0.97384,1.54416,1.09496,0.58193,0.42857,0.54691,0.25596,1.91125,2.04297,2.03778,0.000528058,0.000528058,0.000528058
108,196.355,0.96033,1.53952,1.11267,0.71809,0.35714,0.49105,0.2491,1.94513,2.11608,2.08655,0.000522559,0.000522559,0.000522559
109,198.345,1.04884,3.44919,1.34989,0.71809,0.35714,0.49105,0.2491,1.94513,2.11608,2.08655,0.000517059,0.000517059,0.000517059
110,200.399,0.98891,1.82349,1.13504,0.71809,0.35714,0.49105,0.2491,1.94513,2.11608,2.08655,0.00051156,0.00051156,0.00051156
111,202.14,1.03205,1.60939,1.18386,0.55102,0.35714,0.50618,0.24814,1.97703,2.21842,2.23365,0.00050606,0.00050606,0.00050606
112,204.311,0.95211,1.93632,1.11018,0.55102,0.35714,0.50618,0.24814,1.97703,2.21842,2.23365,0.000500561,0.000500561,0.000500561
113,206.155,0.91936,1.73301,1.11683,0.55102,0.35714,0.50618,0.24814,1.97703,2.21842,2.23365,0.000495062,0.000495062,0.000495062
114,207.799,0.94852,1.82707,1.08454,0.55102,0.35714,0.50618,0.24814,1.97703,2.21842,2.23365,0.000489562,0.000489562,0.000489562
115,209.33,0.97247,1.83091,1.1539,0.97779,0.28571,0.49314,0.25615,2.02037,2.29123,2.2497,0.000484063,0.000484063,0.000484063
116,211.339,1.04992,1.68686,1.16755,0.97779,0.28571,0.49314,0.25615,2.02037,2.29123,2.2497,0.000478563,0.000478563,0.000478563
117,214.408,0.99657,1.77291,1.13773,0.97779,0.28571,0.49314,0.25615,2.02037,2.29123,2.2497,0.000473064,0.000473064,0.000473064
118,216.886,0.88619,1.80937,1.10713,0.97502,0.28571,0.4855,0.23466,1.94725,2.29846,2.08655,0.000467564,0.000467564,0.000467564
119,547.591,0.91306,1.95682,1.10887,0.97502,0.28571,0.4855,0.23466,1.94725,2.29846,2.08655,0.000462065,0.000462065,0.000462065
120,550.094,1.01069,1.79103,1.17639,0.97502,0.28571,0.4855,0.23466,1.94725,2.29846,2.08655,0.000456565,0.000456565,0.000456565
121,552.207,0.9531,1.58191,1.12524,0.7263,0.28571,0.45831,0.22912,1.96219,2.27417,2.13828,0.000451066,0.000451066,0.000451066
122,554.682,0.92463,1.62349,1.11258,0.7263,0.28571,0.45831,0.22912,1.96219,2.27417,2.13828,0.000445567,0.000445567,0.000445567
123,557.211,0.87477,1.76582,1.09051,0.7263,0.28571,0.45831,0.22912,1.96219,2.27417,2.13828,0.000440067,0.000440067,0.000440067
124,560.325,1.03641,3.53306,1.16301,0.44908,0.40875,0.44539,0.21216,1.97655,2.2599,2.16458,0.000434568,0.000434568,0.000434568
125,562.675,0.92703,1.59888,1.10973,0.44908,0.40875,0.44539,0.21216,1.97655,2.2599,2.16458,0.000429068,0.000429068,0.000429068
126,564.267,0.80569,1.37188,1.05565,0.44908,0.40875,0.44539,0.21216,1.97655,2.2599,2.16458,0.000423569,0.000423569,0.000423569
127,565.826,0.92058,1.50149,1.0701,0.44908,0.40875,0.44539,0.21216,1.97655,2.2599,2.16458,0.000418069,0.000418069,0.000418069
128,567.377,0.91964,1.51388,1.0549,0.65673,0.28571,0.4288,0.18161,2.0496,2.28483,2.24286,0.00041257,0.00041257,0.00041257
129,569.509,0.87445,1.93004,1.13246,0.65673,0.28571,0.4288,0.18161,2.0496,2.28483,2.24286,0.00040707,0.00040707,0.00040707
130,572.177,0.91116,1.4939,1.07596,0.65673,0.28571,0.4288,0.18161,2.0496,2.28483,2.24286,0.000401571,0.000401571,0.000401571
131,575.086,0.85768,1.59078,1.05586,0.40707,0.42857,0.44872,0.1912,2.08107,2.28618,2.32758,0.000396071,0.000396071,0.000396071
132,577.748,0.87085,1.6461,1.08506,0.40707,0.42857,0.44872,0.1912,2.08107,2.28618,2.32758,0.000390572,0.000390572,0.000390572
133,580.472,0.8528,1.3868,1.07199,0.40707,0.42857,0.44872,0.1912,2.08107,2.28618,2.32758,0.000385073,0.000385073,0.000385073
134,582.141,0.92949,1.61472,1.1063,0.75003,0.28571,0.45803,0.19634,2.06767,2.29369,2.30798,0.000379573,0.000379573,0.000379573
135,585.98,1.01881,2.24794,1.17206,0.75003,0.28571,0.45803,0.19634,2.06767,2.29369,2.30798,0.000374074,0.000374074,0.000374074
136,589.699,0.90319,1.55432,1.07642,0.75003,0.28571,0.45803,0.19634,2.06767,2.29369,2.30798,0.000368574,0.000368574,0.000368574
137,592.189,0.82209,1.4977,1.04003,0.51891,0.35714,0.43978,0.18855,1.97659,2.28634,2.22106,0.000363075,0.000363075,0.000363075
138,594.483,0.81638,1.37798,1.02656,0.51891,0.35714,0.43978,0.18855,1.97659,2.28634,2.22106,0.000357575,0.000357575,0.000357575
139,598.052,0.84176,1.55855,1.07469,0.51891,0.35714,0.43978,0.18855,1.97659,2.28634,2.22106,0.000352076,0.000352076,0.000352076
140,600.662,0.84931,1.57941,1.059,0.51891,0.35714,0.43978,0.18855,1.97659,2.28634,2.22106,0.000346576,0.000346576,0.000346576
141,603.381,0.80934,1.36897,1.00208,0.55117,0.35714,0.44758,0.19,1.95313,2.30047,2.21925,0.000341077,0.000341077,0.000341077
142,604.925,0.85262,1.41848,1.04825,0.55117,0.35714,0.44758,0.19,1.95313,2.30047,2.21925,0.000335578,0.000335578,0.000335578
143,607.026,0.86006,1.50493,1.09011,0.55117,0.35714,0.44758,0.19,1.95313,2.30047,2.21925,0.000330078,0.000330078,0.000330078
144,610.671,0.80075,1.52478,1.04878,0.59342,0.35714,0.43843,0.18946,1.91069,2.34607,2.15701,0.000324579,0.000324579,0.000324579
145,616.02,0.86309,1.43207,1.04255,0.59342,0.35714,0.43843,0.18946,1.91069,2.34607,2.15701,0.000319079,0.000319079,0.000319079
146,618.901,0.93207,1.49293,1.07918,0.59342,0.35714,0.43843,0.18946,1.91069,2.34607,2.15701,0.00031358,0.00031358,0.00031358
147,620.768,0.73636,1.40458,1.01958,0.72347,0.42857,0.50139,0.2097,1.87557,2.3179,2.13994,0.00030808,0.00030808,0.00030808
148,622.109,0.81348,1.29017,1.05502,0.72347,0.42857,0.50139,0.2097,1.87557,2.3179,2.13994,0.000302581,0.000302581,0.000302581
149,623.623,1.08085,2.0915,1.24172,0.72347,0.42857,0.50139,0.2097,1.87557,2.3179,2.13994,0.000297081,0.000297081,0.000297081
150,625.296,0.82576,1.41715,1.02612,0.71067,0.42857,0.53501,0.21392,1.82009,2.32376,2.08795,0.000291582,0.000291582,0.000291582
151,627.79,0.81965,1.3923,1.08526,0.71067,0.42857,0.53501,0.21392,1.82009,2.32376,2.08795,0.000286083,0.000286083,0.000286083
152,631.91,0.82387,1.37029,1.02242,0.71067,0.42857,0.53501,0.21392,1.82009,2.32376,2.08795,0.000280583,0.000280583,0.000280583
153,636.213,0.81911,1.62332,1.072,0.71067,0.42857,0.53501,0.21392,1.82009,2.32376,2.08795,0.000275084,0.000275084,0.000275084
154,638.699,0.88203,1.23005,1.05103,0.65235,0.42857,0.53614,0.22505,1.76296,2.32995,2.00567,0.000269584,0.000269584,0.000269584
155,640.536,0.87314,1.51775,1.15171,0.65235,0.42857,0.53614,0.22505,1.76296,2.32995,2.00567,0.000264085,0.000264085,0.000264085
156,642.054,0.81784,1.32386,1.0508,0.65235,0.42857,0.53614,0.22505,1.76296,2.32995,2.00567,0.000258585,0.000258585,0.000258585
157,643.81,0.81007,1.26803,1.03867,0.65946,0.41621,0.51451,0.21569,1.79528,2.35408,2.02187,0.000253086,0.000253086,0.000253086
158,645.419,0.82348,1.42836,1.04991,0.65946,0.41621,0.51451,0.21569,1.79528,2.35408,2.02187,0.000247586,0.000247586,0.000247586
